Number,risks_AI_avg,support_company,gender_bin,objective_threat,trait_risk,educ_short,percent_job_gain,age_group,education,country,manipulation_check2,weight
1,4,4,Men,NA,certain,0,100%,45 to 64,HS or less,US,Pass,0.2703
2,4,2,NA,0.2,certain,1,30%,45 to 64,Postgrad,US,Pass,0.2709
3,3,4,Men,NA,certain,0,70%,45 to 64,HS or less,US,Pass,0.6464
4,2.5,3,Men,0.466666667,certain,0,100%,30 to 44,HS or less,US,Pass,2.7281
5,3,4,Men,NA,certain,0,30%,65 or older,Some college,US,Fail,0.8643
6,6.5,4,Men,0.2,certain,1,50%,30 to 44,University,US,Fail,0.9233
7,3.5,4,Women,NA,certain,0,50%,18 to 29,Some college,US,Pass,0.6073
8,8.5,2,Women,0.6,certain,0,30%,65 or older,Some college,US,Fail,2.5188
9,4,3,Women,0.4,risky,1,70%,30 to 44,University,US,Pass,0.8337
10,3,4,Women,0.066666667,certain,1,50%,30 to 44,Postgrad,US,Fail,0.844
11,10,4,Women,0.8,certain,0,50%,45 to 64,Some college,US,Pass,0.5982
12,9,3,Women,0.633333333,certain,0,70%,30 to 44,HS or less,US,Pass,1.0283
13,5,3,Men,0.466666667,certain,0,30%,30 to 44,HS or less,Canada,Fail,2.8671
14,8,2,Men,NA,certain,0,70%,65 or older,HS or less,Canada,Fail,0.8202
15,7,2,Women,0.566666667,certain,1,30%,30 to 44,Postgrad,Canada,Pass,0.7084
16,1,4,Men,0.4,certain,1,50%,65 or older,Postgrad,Canada,Fail,1.0794
17,8,1,Women,NA,certain,0,30%,45 to 64,Some college,Canada,Pass,0.5672
18,5,2,Women,NA,certain,0,70%,45 to 64,HS or less,Canada,Fail,0.7444
19,5,3,Men,1,certain,0,100%,45 to 64,HS or less,Canada,Fail,0.9616
20,4.5,4,Men,NA,certain,0,100%,65 or older,HS or less,Canada,Fail,0.9196
21,3.5,4,Men,0.7,certain,1,70%,45 to 64,Postgrad,Canada,Pass,0.7129
22,5,2,Women,NA,certain,0,30%,30 to 44,Some college,Canada,Fail,0.4246
23,8,3,Men,NA,certain,1,50%,65 or older,University,Canada,Pass,0.7949
24,5,2,Women,NA,certain,1,30%,65 or older,Postgrad,US,Pass,1.1065
