id,benefits_text,gender_bin,gender_cat
1,Not sure,Man,Man
2,No I cannot,Man,Man
3,No idea,Woman,Woman
4,Efficency,Man,Man
5,In medicine,Woman,Woman
6,don't know,Man,Man
7,Better for the economy.,Woman,Woman
8,Very little,Woman,Woman
9,None,Man,Man
10,Good for the government but not good for individuals or communities,Woman,Woman
11,Creating stories and myths for people to enjoy,Woman,Woman
12,It improves technology,Man,Man
13,Doing things quicker,Woman,Woman
14,Not sure,Woman,Woman
15,I'm unsure,Woman,Woman
16,I am not sure what it is,Woman,Woman
17,I think it's about garage and robots I'm not sure what it is,Man,Man
18,nothing,Woman,Woman
19,Can complete extra tasks and will hel0 businesses,Man,Man
20,Easier and efficient lifestyle,Woman,Woman
21,Unsure.,Man,Man
22,"easier to make decisions, to improve education, Improved efficiency and productivity through automation of repetitive tasks.",Woman,Woman
23,Don’t know,Woman,Woman
24,Don’t think there are any benefits,Woman,Woman
25,cheaper than paying people,Man,Man
26, N/A,Woman,Woman
27,I realize AI can increase productivity etc but I am mot a fan. I believe AI will increase human poverty.,Woman,Woman
28,I do not think there are any benefits.,Woman,Woman
29,I’m not sure. I don’t know much about AI,Woman,Woman
30,Not sure,Woman,Woman
31,It might be fool proof and mistake proof? Much faster for society but will take jobs!,Woman,Woman
32,There are very few benefits,Man,Man
33,Less manual labor for the humans to do,Man,Man
34,I don’t know enough to form an opinion.,Woman,Woman
35,To help make things run smoother - optimizing processes,Woman,Woman
36,Making things easier for humans,Woman,Woman
37,None,Woman,Woman
38,Iam not sure,Woman,Woman
39,Don’t know,Woman,Woman
40,Technology,Man,Man
41,O,Woman,Woman
42,Convenient,Woman,Woman
43,Accomplish more in lesser time. More accurate than humans.,Man,Man
44,Augmented reality and 3d printing convergence,Man,Man
45,In medicine...helping advance technology to detect medical conditions sooner and finding quicker and more efficient ways of treating patients and for medical research.,Woman,Woman
46,Less humans will be necessary in the work place. Where's the money coming from to support all the people who will loose their jobs jobs due to automation and AI?,Woman,Woman
47,I don't know,Woman,Woman
48,streamlining slow processes done currently by people,Man,Man
49,Don’t know,Woman,Woman
50,Customized experiences for the consumer,Woman,Woman
51,Efficiency,Woman,Woman
52,Automate repetitive taska,Man,Man
53,Increase production,Man,Man
54,I guess the biggest benefits are that automation and AI make things happen faster and possibly with less error.,Woman,Woman
55,None what so ever,Woman,Woman
56,Not Sure,Woman,Woman
57,None,Woman,Woman
