id,risks_text,gender_bin,gender_cat
2,Not sure,Man,Man
3,Taking over the world,Man,Man
8,People losing jobs,Woman,Woman
10,Job loss,Man,Man
12,Crime,Woman,Woman
13,job lost,Man,Man
14,Job losses,Woman,Woman
17,A lot,Woman,Woman
18,None,Man,Man
19,Same thing,Woman,Woman
20,Taking over important information and possibly replacing it,Woman,Woman
24,People will tend to be out of jobs,Man,Man
26,Taking other peoples likeness and using it or others art and using it without giving credit,Woman,Woman
30,No power no information. Everything stops.,Woman,Woman
31,Glitches that can cause even more problems than it's trying to fix.,Woman,Woman
32,I don’t know,Woman,Woman
33,People might lose their jobs. Robots might take it over.,Man,Man
34,they take over the world,Woman,Woman
35,The take over of people's jobs,Man,Man
37,Choosing a brand??,Woman,Woman
41,Unsure.,Man,Man
42,big risk to business as AI would be easy to manipulate,Woman,Woman
43,Don’t know,Woman,Woman
45,Lose of jobs,Woman,Woman
46,break downs,Man,Man
48, N/A,Woman,Woman
51,Job loss and devaluing of humanity,Woman,Woman
53,"Risk of unemployment for many people, loss of customer service’s , being able to deal with real people.",Woman,Woman
54,"Scamming, catfishing, plagiarism",Woman,Woman
57,Lack of human experience,Woman,Woman
59,Loss of jobs for the people..,Woman,Woman
60,Catastrophe,Man,Man
66,"Terminator, the Matrix, etc etc",Man,Man
67,I don’t know enough to form an opinion.,Woman,Woman
68,Too easy for fraudulent people to use,Woman,Woman
69,Mistakes,Woman,Woman
73,Replacing the human touch,Woman,Woman
81,Don't know,Woman,Woman
83,I Don’t know enough about AI,Woman,Woman
86,Taking over from humans,Man,Man
89,I,Woman,Woman
90,Knows too much,Woman,Woman
94,People losing their jobs to machines,Man,Man
95,Misuse for greed or nefarious purposes,Man,Man
97,Being used to replace people in jobs or being used to steal someone's identity or taking away from the natural talents of artists.,Woman,Woman
99,displacement of human workers.,Woman,Woman
100,I don't know,Woman,Woman
101,massively replacing people in the workforce,Man,Man
102,Don’t know,Woman,Woman
105,"The loss of jobs for designers, writers, and artists.",Woman,Woman
113,Job loss,Woman,Woman
114,Risk in judging with current data,Man,Man
115,Making humans replaceable,Man,Man
117,The biggest risks are people losing their jobs.,Woman,Woman
120,They will replace people at jobs actually become smarter thgn people should be regulated,Woman,Woman
121,That they will not need us soon,Woman,Woman
126,Jobs taken away,Woman,Woman
128,"WHO ANSWERS FOR ALL THE MISERY LIKELY TO BE CAUSED , JOB LOSS , NO INCENTIVE TO CREATE JOBS WHEN AN AI CAN HANDLE IT HANDS DOWN ( FASTER ) WHEN THE HANDRAILS FALL OFF WHO WILL TAKE THE BLAME , CERTAINLY NOT THE ELITE. NOT TO BE LEFT BEHIND OTHER COUNTRIES I WOULD LIKE TO SEE A PLEBISITE TAKEN BY THE ELECTORATE IN ORDER TO GAUGE THE IMPACT OF (AI)",Man,Man
129,Loss of many jobs,Man,Man
131,We are the risk it promotes power control over the human race and who knows controls this for example police military politicians PM now that is scary power is not a good thing to have for one person it promotes disaster,Woman,Woman
133,People thinking that AI will replace humans,Woman,Woman
135,not to sure,Man,Man
136,Job loss,Woman,Woman
138,Privacy,Man,Man
144,It removes having to think and process looking for items,Woman,Woman
145,job loss,Woman,Woman
146, Dependence,Woman,Woman
148,It's based on data which could be faulty or biased,Man,Man
150,That these technologies don't fall in the wrong hands and that it is not used for good purposes.,Man,Man
151,Taking too many jobs,Man,Man
159,Don't know,Man,Man
162,None that i can think of,Man,Man
163,Some errors may be inquired when constant maintenance of AI is not taking place,Man,Man
165, Data theft,Woman,Woman
167, Loss of jobs,Woman,Woman
169,Unknown,Man,Man
170,We don't know until they come,Woman,Woman
175,real people lose the incentive to work and be productive and interact face to face,Man,Man
177,Too much trust into a system that isn't human,Man,Man
178,"Taking over human jobs, trades and people in general",Woman,Woman
