id,gender_bin,b_cls,r_cls,benefit_uncertainty,risk_uncertainty,unc_index
1,Man,uncertain,,1.0,,
2,Man,substantive,uncertain,0.0,1.0,0.5
3,Woman,uncertain,substantive,1.0,0.0,0.5
4,Man,too_short,,,,
5,Woman,substantive,,0.0,,
6,Man,uncertain,,1.0,,
7,Woman,substantive,,0.0,,
8,Woman,substantive,substantive,0.0,0.0,0.0
9,Man,missing,,,,
10,Woman,substantive,substantive,0.0,0.0,0.0
11,Woman,substantive,,0.0,,
12,Man,substantive,too_short,0.0,,
13,Woman,substantive,substantive,0.0,0.0,0.0
14,Woman,uncertain,substantive,1.0,0.0,0.5
15,Woman,uncertain,,1.0,,
16,Woman,uncertain,,1.0,,
17,Man,uncertain,substantive,1.0,0.0,0.5
18,Woman,too_short,missing,,,
19,Man,substantive,substantive,0.0,0.0,0.0
20,Woman,substantive,substantive,0.0,0.0,0.0
21,Man,too_short,,,,
22,Woman,substantive,,0.0,,
23,Woman,substantive,,0.0,,
24,Woman,substantive,substantive,0.0,0.0,0.0
25,Man,substantive,,0.0,,
26,Woman,too_short,substantive,,0.0,
27,Woman,substantive,,0.0,,
28,Woman,substantive,,0.0,,
29,Woman,uncertain,,1.0,,
30,Woman,uncertain,substantive,1.0,0.0,0.5
31,Woman,substantive,substantive,0.0,0.0,0.0
32,Man,substantive,substantive,0.0,0.0,0.0
33,Man,substantive,substantive,0.0,0.0,0.0
34,Woman,substantive,substantive,0.0,0.0,0.0
35,Woman,substantive,substantive,0.0,0.0,0.0
36,Woman,substantive,,0.0,,
37,Woman,missing,substantive,,0.0,
38,Woman,uncertain,,1.0,,
39,Woman,substantive,,0.0,,
40,Man,too_short,,,,
41,Woman,too_short,too_short,,,
42,Woman,too_short,substantive,,0.0,
43,Man,substantive,substantive,0.0,0.0,0.0
44,Man,substantive,,0.0,,
45,Woman,substantive,substantive,0.0,0.0,0.0
46,Woman,substantive,substantive,0.0,0.0,0.0
47,Woman,uncertain,,1.0,,
48,Man,substantive,too_short,0.0,,
49,Woman,substantive,,0.0,,
50,Woman,substantive,,0.0,,
51,Woman,too_short,substantive,,0.0,
52,Man,substantive,,0.0,,
53,Man,substantive,substantive,0.0,0.0,0.0
54,Woman,substantive,substantive,0.0,0.0,0.0
55,Woman,substantive,,0.0,,
56,Woman,uncertain,,1.0,,
57,Woman,missing,substantive,,0.0,
58,Man,uncertain,,1.0,,
59,Man,missing,substantive,,0.0,
60,Woman,substantive,too_short,0.0,,
61,Woman,substantive,,0.0,,
62,Man,too_short,,,,
63,Woman,too_short,,,,
64,Man,substantive,,0.0,,
65,Woman,substantive,,0.0,,
66,Woman,uncertain,substantive,1.0,0.0,0.5
67,Woman,too_short,substantive,,0.0,
68,Man,substantive,substantive,0.0,0.0,0.0
69,Man,substantive,too_short,0.0,,
70,Man,substantive,,0.0,,
71,Man,uncertain,,1.0,,
72,Man,substantive,,0.0,,
73,Man,substantive,substantive,0.0,0.0,0.0
74,Woman,uncertain,,1.0,,
75,Woman,uncertain,,1.0,,
76,Man,too_short,,,,
77,Woman,substantive,,0.0,,
78,Man,uncertain,,1.0,,
79,Man,substantive,,0.0,,
80,Woman,substantive,,0.0,,
81,Man,substantive,uncertain,0.0,1.0,0.5
82,Woman,substantive,,0.0,,
83,Woman,too_short,substantive,,0.0,
84,Woman,too_short,,,,
85,Man,missing,,,,
86,Man,substantive,substantive,0.0,0.0,0.0
87,Woman,substantive,,0.0,,
88,Man,uncertain,,1.0,,
89,Man,uncertain,too_short,1.0,,
90,Man,substantive,substantive,0.0,0.0,0.0
91,Man,missing,,,,
92,Man,substantive,,0.0,,
93,Woman,uncertain,,1.0,,
94,Man,substantive,substantive,0.0,0.0,0.0
95,Man,substantive,substantive,0.0,0.0,0.0
96,Woman,substantive,,0.0,,
97,Woman,missing,substantive,,0.0,
98,Man,substantive,,0.0,,
99,Woman,substantive,substantive,0.0,0.0,0.0
100,Woman,substantive,uncertain,0.0,1.0,0.5
101,Man,substantive,substantive,0.0,0.0,0.0
102,Woman,too_short,substantive,,0.0,
103,Woman,substantive,,0.0,,
104,Woman,too_short,,,,
105,Woman,substantive,substantive,0.0,0.0,0.0
106,Woman,substantive,,0.0,,
107,Woman,too_short,,,,
108,Woman,substantive,,0.0,,
109,Man,uncertain,,1.0,,
