feature,importance
objective_threat,0.10070598956829266
sentiment,0.07367951508699358
age_group,0.04670745272174663
topic_0,0.03550193173344964
percent_job_gain,0.031839360327178746
gender_clean,0.029531801862813085
education,0.027447305450539652
topic_3,0.02484630548899875
topic_1,0.02451486454553834
topic_10,0.023971321299939324
topic_2,0.02306117964192024
topic_34,0.02175090532263698
trait_risk,0.020867290232005627
topic_14,0.02047152706668482
topic_30,0.01981879349914149
topic_25,0.018508933347884993
topic_13,0.018157706801585707
topic_9,0.017326869246544578
topic_8,0.017307761933815016
topic_35,0.01710017638029492
topic_39,0.016901997536694042
topic_7,0.016718824507898362
topic_11,0.016442594146682556
topic_4,0.01640031700502671
topic_31,0.016004994477832876
topic_33,0.015868924902429807
topic_5,0.015721205528784848
topic_21,0.015720748571514533
topic_19,0.015267812374144527
topic_6,0.015208523590877742
topic_18,0.014972359386354609
topic_16,0.014571396891204737
topic_36,0.014538463912055686
topic_24,0.013976663733401305
topic_17,0.013887921052628547
topic_29,0.013837680140877327
topic_37,0.013490070301829344
topic_12,0.01337829657807313
uncertainty,0.01294223142984284
topic_32,0.012536428881212569
topic_22,0.012386741084184468
topic_23,0.011612854730017427
topic_28,0.011575068913851362
topic_27,0.011519213069736507
topic_20,0.011344734419351549
topic_15,0.010618601215221787
topic_38,0.010245312798812524
topic_26,0.009193027261453601
